time,deltaTimeMs,angle,position,angleTarget,angleErr,positionTarget,positionErr,angleCmd,positionCmd,motorCmd,actualMotorCmd
39.0481641292572,4.791736602783203,3084,148,3129,-44.0,1800,-1633.6072241480101,27374.345828668203,-23620.425077925847,3754,3754
39.05327248573303,5.108356475830078,3084,148,3129,-45.0,1800,-1633.6072241480101,27048.17902361617,-23620.425077925847,3428,3428
39.05843758583069,5.16510009765625,3092,150,3129,-37.0,1800,-1641.803612074005,18281.39669128508,-24302.359986075786,-6021,-6021
39.06322383880615,4.786252975463867,3085,152,3129,-37.0,1800,-1641.803612074005,18281.39669128508,-24302.359986075786,-6021,-6021
39.068366050720215,5.1422119140625,3089,153,3129,-40.0,1800,-1641.803612074005,24990.586112759644,-24302.359986075786,688,688
39.07345151901245,5.085468292236328,3094,152,3129,-35.0,1800,-1641.803612074005,18408.906760431317,-24302.359986075786,-5893,-5893
39.07823991775513,4.788398742675781,3090,150,3129,-35.0,1800,-1641.803612074005,18408.906760431317,-24302.359986075786,-5893,-5893
39.08335733413696,5.1174163818359375,3087,147,3129,-42.0,1800,-1641.803612074005,27988.63698844577,-24302.359986075786,3686,3686
39.08822011947632,4.862785339355469,3090,142,3129,-42.0,1800,-1649.9018060370026,27988.63698844577,-24480.858001000415,3508,3508
39.093345642089844,5.125522613525391,3081,139,3129,-48.0,1800,-1649.9018060370026,31077.967557912365,-24480.858001000415,6597,6597
39.09839391708374,5.048274993896484,3080,138,3129,-49.0,1800,-1649.9018060370026,29417.572483234155,-24480.858001000415,4937,4937
39.10323786735535,4.843950271606445,3087,139,3129,-49.0,1800,-1649.9018060370026,29417.572483234155,-24480.858001000415,4937,4937
39.108288288116455,5.050420761108398,3082,142,3129,-47.0,1800,-1649.9018060370026,26860.24469999528,-24480.858001000415,2379,2379
39.11334228515625,5.053997039794922,3086,148,3129,-43.0,1800,-1650.9509030185013,23580.786817624303,-23285.602116864495,295,295
39.11821675300598,4.874467849731445,3083,154,3129,-43.0,1800,-1650.9509030185013,23580.786817624303,-23285.602116864495,295,295
39.12342119216919,5.204439163208008,3080,159,3129,-49.0,1800,-1650.9509030185013,31627.875466581154,-23285.602116864495,6839,6839
39.12851071357727,5.089521408081055,3091,164,3129,-38.0,1800,-1650.9509030185013,17454.582594275544,-23285.602116864495,-5831,-5831
39.133241415023804,4.730701446533203,3087,171,3129,-38.0,1800,-1650.9509030185013,17454.582594275544,-23285.602116864495,-5831,-5831
39.13841676712036,5.175352096557617,3090,176,3129,-39.0,1800,-1637.4754515092507,23496.312560925046,-20763.523214820183,2733,2733
39.143556118011475,5.139350891113281,3093,178,3129,-36.0,1800,-1637.4754515092507,19924.662030061234,-20763.523214820183,-839,-839
39.1483998298645,4.843711853027344,3096,180,3129,-36.0,1800,-1637.4754515092507,19924.662030061234,-20763.523214820183,-839,-839
39.15332841873169,4.9285888671875,3091,181,3129,-38.0,1800,-1637.4754515092507,23397.416965944274,-20763.523214820183,2634,2634
39.15850281715393,5.174398422241211,3094,182,3129,-35.0,1800,-1637.4754515092507,19342.81498963277,-20763.523214820183,-1421,-1421
39.16329741477966,4.794597625732422,3091,184,3129,-35.0,1800,-1637.4754515092507,19342.81498963277,-20763.523214820183,-1421,-1421
39.168405532836914,5.108118057250977,3098,185,3129,-31.0,1800,-1626.2377257546254,16508.199298016338,-20941.349929090877,-4433,-4433
39.17312741279602,4.721879959106445,3099,185,3129,-31.0,1800,-1626.2377257546254,16508.199298016338,-20941.349929090877,-4433,-4433
39.17849612236023,5.368709564208984,3095,184,3129,-34.0,1800,-1626.2377257546254,21387.60694910738,-20941.349929090877,446,446
39.18364405632019,5.1479339599609375,3100,179,3129,-29.0,1800,-1626.2377257546254,14890.525157465729,-20941.349929090877,-6051,-6051
39.18826365470886,4.619598388671875,3093,176,3129,-29.0,1800,-1626.2377257546254,14890.525157465729,-20941.349929090877,-6051,-6051
39.19334173202515,5.07807731628418,3094,171,3129,-35.0,1800,-1626.2377257546254,23420.287222874314,-20941.349929090877,2479,2479
39.19844937324524,5.107641220092773,3096,164,3129,-33.0,1800,-1631.1188628773127,18596.51502964104,-23628.856796304208,-5032,-5032
39.203145027160645,4.695653915405273,3126,160,3129,-33.0,1800,-1631.1188628773127,18596.51502964104,-23628.856796304208,-5032,-5032
39.20827102661133,5.125999450683594,3090,153,3129,-39.0,1800,-1631.1188628773127,25758.715467906975,-23628.856796304208,2130,2130
39.21335792541504,5.0868988037109375,3083,144,3129,-46.0,1800,-1631.1188628773127,30371.634435695538,-23628.856796304208,6743,6743
39.21817922592163,4.821300506591797,3080,137,3129,-46.0,1800,-1631.1188628773127,30371.634435695538,-23628.856796304208,6743,6743
39.223361015319824,5.181789398193359,3087,133,3129,-42.0,1800,-1631.1188628773127,23034.972529677005,-23628.856796304208,-594,-594
39.22853946685791,5.1784515380859375,3080,133,3129,-49.0,1800,-1649.0594314386562,32088.31382688766,-25962.338703938032,6126,6126
39.23333501815796,4.795551300048828,3076,133,3129,-49.0,1800,-1649.0594314386562,32088.31382688766,-25962.338703938032,6126,6126
39.23850870132446,5.173683166503906,3087,135,3129,-42.0,1800,-1649.0594314386562,21689.802012903227,-25962.338703938032,-4273,-4273
39.243557929992676,5.049228668212891,3082,140,3129,-47.0,1800,-1649.0594314386562,30069.429351213523,-25962.338703938032,4107,4107
39.24848961830139,4.93168830871582,3080,144,3129,-47.0,1800,-1649.0594314386562,30069.429351213523,-25962.338703938032,4107,4107
