time,deltaTimeMs,angle,position,angleTarget,angleErr,positionTarget,positionErr,angleCmd,positionCmd,motorCmd,actualMotorCmd
12.810387134552002,5.1059722900390625,963,-197,3129,-2166.0,0,-197.0,863658.1128128502,-3940.0,6839,0
12.815202236175537,4.815101623535156,954,-197,3129,-2166.0,0,-197.0,863658.1128128502,-3940.0,6839,0
12.820113897323608,4.911661148071289,955,-197,3129,-2174.0,0,-197.0,872857.5537109849,-3940.0,6839,0
12.825238466262817,5.124568939208984,956,-197,3129,-2173.0,0,-197.0,868809.7232716107,-3940.0,6839,0
12.830054998397827,4.816532135009766,953,-197,3129,-2173.0,0,-197.0,868809.7232716107,-3940.0,6839,0
12.835157871246338,5.102872848510742,960,-197,3129,-2169.0,0,-197.0,866032.2556650937,-3940.0,6839,0
12.839891910552979,4.734039306640625,955,-197,3129,-2169.0,0,-197.0,866032.2556650937,-3940.0,6839,0
12.845006704330444,5.11479377746582,957,-197,3129,-2172.0,0,-197.0,869973.0678226821,-3940.0,6839,0
12.850154161453247,5.147457122802734,959,-197,3129,-2170.0,0,-197.0,867222.9172765169,-3940.0,6839,0
12.854928016662598,4.773855209350586,961,-197,3129,-2170.0,0,-197.0,867222.9172765169,-3940.0,6839,0
12.8600594997406,5.13148307800293,952,-197,3129,-2177.0,0,-197.0,873528.2560981276,-3940.0,6839,0
12.865180492401123,5.120992660522461,963,-197,3129,-2166.0,0,-197.0,862103.9579123795,-3940.0,6839,0
12.87000846862793,4.827976226806641,954,-197,3129,-2166.0,0,-197.0,862103.9579123795,-3940.0,6839,0
12.875199794769287,5.191326141357422,961,-197,3129,-2168.0,0,-197.0,867970.5160282906,-3940.0,6839,0
12.88036036491394,5.16057014465332,957,-197,3129,-2172.0,0,-197.0,870350.2163086163,-3940.0,6839,0
12.885081768035889,4.721403121948242,960,-197,3129,-2172.0,0,-197.0,870350.2163086163,-3940.0,6839,0
12.89026951789856,5.187749862670898,952,-197,3129,-2177.0,0,-197.0,872727.6179971506,-3940.0,6839,0
12.895356893539429,5.087375640869141,961,-197,3129,-2168.0,0,-197.0,863661.829974693,-3940.0,6839,0
12.90012526512146,4.76837158203125,956,-197,3129,-2168.0,0,-197.0,863661.829974693,-3940.0,6839,0
12.905225038528442,5.099773406982422,958,-197,3129,-2171.0,0,-197.0,869576.5228611501,-3940.0,6839,0
12.910282373428345,5.057334899902344,953,-197,3129,-2176.0,0,-197.0,872377.3260418631,-3940.0,6839,0
12.918971538543701,8.689165115356445,955,-197,3129,-2174.0,0,-197.0,869139.6565784058,-3940.0,6839,0
12.920172452926636,1.2009143829345703,953,-197,3129,-2174.0,0,-197.0,869139.6565784058,-3940.0,6839,0
12.924901485443115,4.729032516479492,958,-197,3129,-2171.0,0,-197.0,867131.2415427275,-3940.0,6839,0
12.930050134658813,5.148649215698242,955,-197,3129,-2174.0,0,-197.0,870765.3542023617,-3940.0,6839,0
12.935091495513916,5.041360855102539,954,-197,3129,-2175.0,0,-197.0,870396.7182785529,-3940.0,6839,0
12.939858198165894,4.766702651977539,962,-197,3129,-2175.0,0,-197.0,870396.7182785529,-3940.0,6839,0
12.945152997970581,5.2947998046875,951,-197,3129,-2178.0,0,-197.0,872333.1873198848,-3940.0,6839,0
12.950298547744751,5.145549774169922,958,-197,3129,-2171.0,0,-197.0,865679.2022982115,-3940.0,6839,0
12.955063104629517,4.764556884765625,957,-197,3129,-2171.0,0,-197.0,865679.2022982115,-3940.0,6839,0
12.960284233093262,5.221128463745117,962,-197,3129,-2167.0,0,-197.0,865267.7641901457,-3940.0,6839,0
12.965360641479492,5.076408386230469,952,-197,3129,-2177.0,0,-197.0,874739.7933496148,-3940.0,6839,0
12.970120668411255,4.760026931762695,963,-197,3129,-2177.0,0,-197.0,874739.7933496148,-3940.0,6839,0
12.975261926651001,5.141258239746094,955,-197,3129,-2174.0,0,-197.0,868432.9705063995,-3940.0,6839,0
12.980424165725708,5.162239074707031,959,-197,3129,-2170.0,0,-197.0,866450.284869758,-3940.0,6839,0
12.9851815700531,4.757404327392578,957,-197,3129,-2170.0,0,-197.0,866450.284869758,-3940.0,6839,0
12.990297794342041,5.11622428894043,953,-197,3129,-2176.0,0,-197.0,872745.4796588843,-3940.0,6839,0
12.995351314544678,5.053520202636719,957,-197,3129,-2172.0,0,-197.0,867216.9450839781,-3940.0,6839,0
13.000052452087402,4.701137542724609,958,-197,3129,-2172.0,0,-197.0,867216.9450839781,-3940.0,6839,0
13.005324602127075,5.272150039672852,959,-197,3129,-2170.0,0,-197.0,867241.2962510741,-3940.0,6839,0
13.010448455810547,5.12385368347168,954,-197,3129,-2175.0,0,-197.0,871951.6560420641,-3940.0,6839,0
13.01511263847351,4.664182662963867,959,-197,3129,-2175.0,0,-197.0,871951.6560420641,-3940.0,6839,0
13.020377397537231,5.264759063720703,953,-197,3129,-2176.0,0,-197.0,870779.8844307581,-3940.0,6839,0
13.02518892288208,4.811525344848633,963,-197,3129,-2176.0,0,-197.0,870779.8844307581,-3940.0,6839,0
13.030280590057373,5.091667175292969,950,-197,3129,-2179.0,0,-197.0,872778.3959542986,-3940.0,6839,0
13.035273551940918,4.992961883544922,956,-197,3129,-2179.0,0,-197.0,872778.3959542986,-3940.0,6839,0
13.040237188339233,4.96363639831543,956,-197,3129,-2173.0,0,-197.0,866782.4175993083,-3940.0,6839,0
13.045375347137451,5.138158798217773,965,-197,3129,-2164.0,0,-197.0,862096.7995916663,-3940.0,6839,0
