epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
5,1m 6s,3816648,0.0001,0.042238779878809384,0.06580626263337977,0.0020857073221150217,0.07449108675906532,0.053787975826501855,0.0,0.0
6,1m 17s,3816648,0.0001,0.04034118034579011,0.06799385828130386,-0.033242970507406495,0.07262485905697472,0.0536525353615106,0.0,0.0
7,1m 28s,3816648,0.0001,0.03898539137743745,0.0630421848858104,0.0728253039415328,0.07730920691239207,0.053491634188953086,0.0,0.0
8,1m 39s,3816648,0.0001,0.03764169515385801,0.06086454671971938,0.03454255543388002,0.07719816659626208,0.05331839638489455,0.0,0.0
9,1m 50s,3816648,0.0001,0.036588302025428183,0.061489077175364774,-0.010260989185072731,0.07604553824976872,0.05319188029162747,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,3816648,0.0001,0.1467796047689461,0.07412952535292681,1,0.0848998835212306,0.05424364374748014,0.0,0.0
1,0m 22s,3816648,0.0001,0.06682502499476135,0.06411432518678553,0.1351040643854043,0.07883389999991969,0.054229732226851235,0.0,0.0
2,0m 33s,3816648,0.0001,0.05433866369579485,0.05745602355283849,0.10385045174458715,0.09562098352532637,0.054141013472651545,0.0,0.0
3,0m 44s,3816648,0.0001,0.048475721104424975,0.06047987937927246,-0.05262904808671852,0.08016658456701982,0.054076967981454116,0.0,0.0
4,0m 55s,3816648,0.0001,0.04453526238198222,0.07032769567826215,-0.1628279751887983,0.06962939312583522,0.053907404918693724,0.0,0.0
5,1m 6s,3816648,0.0001,0.04139433409038343,0.07036101818084717,-0.00047381763704391276,0.06941979182393927,0.05375254082112624,0.0,0.0
6,1m 17s,3816648,0.0001,0.03949781564565805,0.07214537788839902,-0.025360060921312346,0.06979191930670488,0.0536008265018143,0.0,0.0
7,1m 28s,3816648,0.0001,0.03799523805317126,0.06810042437385111,0.05606670354967171,0.07345960014744808,0.05348428470635669,0.0,0.0
8,1m 39s,3816648,0.0001,0.036645823644723005,0.06411613436306224,0.05850609665684757,0.07539207684366327,0.053377454727187246,0.0,0.0
9,1m 50s,3816648,0.0001,0.03552500921704991,0.0649505432914285,-0.013014024264803095,0.07438478971782483,0.05327351204475206,0.0,0.0
