epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 7s,20028,0.0001,0.5027774963378906,0.4824904335869683,1,0.40632320705213043,0.01212152209492634,0.0,0.0
1,0m 14s,20028,0.0001,0.42538104248046876,0.3984037505255805,0.1742763735982576,0.34073041614733246,0.013451309328968875,0.0,0.0
2,0m 21s,20028,0.0001,0.37507449340820315,0.3588028483920627,0.09939891901438093,0.3216367520784077,0.012990998363338835,0.0,0.0
3,0m 28s,20028,0.0001,0.34860800170898437,0.33389560381571454,0.0694176333548281,0.3142925814578408,0.012581833060556491,0.0,0.0
4,0m 35s,20028,0.0001,0.3347604064941406,0.3243212964799669,0.028674553442254842,0.3121289704975329,0.014474222585924679,0.0,0.0
5,0m 43s,20028,0.0001,0.326236572265625,0.31807589530944824,0.019256833388073276,0.31372466840242086,0.012479541734860877,0.0,0.0
6,0m 51s,20028,0.0001,0.3211591491699219,0.31131482124328613,0.021256166109614897,0.3097682752107319,0.011916939443535224,0.0,0.0
7,0m 58s,20028,0.0001,0.31770437622070313,0.3103886975182427,0.0029748783605765706,0.30865754579242904,0.012172667757774147,0.0,0.0
8,1m 6s,20028,0.0001,0.3153360290527344,0.3053370846642388,0.016275118567121806,0.3076659252769069,0.012479541734860877,0.0,0.0
9,1m 14s,20028,0.0001,0.3135841979980469,0.3070708115895589,-0.005678075190986272,0.30754370438425166,0.011558919803600687,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,20028,0.0001,0.5027086791992188,0.4819035530090332,1,0.40577712811921773,0.011865793780687417,0.0,0.0
1,0m 19s,20028,0.0001,0.42520230102539064,0.3983513249291314,0.17337956435099294,0.3408853882237485,0.013093289689034338,0.0,0.0
2,0m 29s,20028,0.0001,0.3749654235839844,0.35851913028293186,0.09999262498571045,0.3212929775840358,0.013604746317512295,0.0,0.0
3,0m 37s,20028,0.0001,0.34847796630859373,0.33432896931966144,0.06747244127302306,0.3148543709202817,0.013297872340425565,0.0,0.0
4,0m 46s,20028,0.0001,0.334585693359375,0.32564285066392684,0.0259807538467585,0.3131090716311806,0.013451309328968875,0.0,0.0
5,0m 54s,20028,0.0001,0.32615841674804685,0.31784817907545304,0.023936258918572526,0.3135081592359041,0.011252045826513957,0.0,0.0
6,1m 2s,20028,0.0001,0.3210461120605469,0.31224144829644096,0.01763965046243388,0.31074087243331106,0.010740589198035999,0.0,0.0
7,1m 10s,20028,0.0001,0.3176204833984375,0.3103497293260362,0.0060585133098945655,0.30876827239990234,0.011405482815057266,0.0,0.0
8,1m 18s,20028,0.0001,0.31522088623046873,0.3061855104234483,0.013417826758318816,0.3085985434682746,0.01227495908346976,0.0,0.0
9,1m 26s,20028,0.0001,0.31360772705078127,0.3080965148078071,-0.006241328604073657,0.308674460963199,0.012581833060556491,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 11s,20028,0.0001,0.325640869140625,0.29293666945563424,1,0.30152265649092824,0.01242839607201307,0.0,0.0
1,0m 24s,20028,0.0001,0.31703536987304687,0.2912122408548991,0.005886694226228635,0.30079668446591024,0.011558919803600687,0.0,0.0
2,0m 35s,20028,0.0001,0.3142893981933594,0.2947720421685113,-0.01222407857293983,0.3019032227365594,0.01181464811783961,0.0,0.0
3,0m 46s,20028,0.0001,0.31223492431640626,0.2903283437093099,0.015075033665034902,0.29986730374787984,0.01104746317512273,0.0,0.0
4,1m 0s,20028,0.0001,0.3105974426269531,0.2903282642364502,2.737344162359463e-07,0.2997210653204667,0.011712356792143996,0.0,0.0
5,1m 13s,20028,0.0001,0.3093493347167969,0.28777890735202366,0.008780946254513746,0.29873295834189967,0.011763502454991803,0.0,0.0
6,1m 24s,20028,0.0001,0.3079254760742188,0.2881880866156684,-0.001421852864095521,0.297450768320184,0.01166121112929619,0.0,0.0
7,1m 36s,20028,0.0001,0.30691067504882813,0.28978191481696236,-0.005530513839107779,0.29858488785593135,0.01181464811783961,0.0,0.0
8,1m 48s,20028,0.0001,0.30602804565429687,0.2871295346154107,0.009153021862068313,0.2980878478602359,0.012530687397708684,0.0,0.0
9,2m 1s,20028,0.0001,0.30556170654296877,0.2881242169274224,-0.0034642284826046335,0.29629810232865184,0.012377250409165264,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 25s,20028,0.0001,0.39231201171875,0.32488809691535103,1,0.4695238816110711,0.011252045826513957,0.0,0.0
1,0m 57s,20028,0.0001,0.3842706298828125,0.3214099672105577,0.010705623683404908,0.46860348550896896,0.011098608837970536,0.0,0.0
2,1m 18s,20028,0.0001,0.3818639221191406,0.3207712968190511,0.0019870895636793233,0.4694683175337942,0.01227495908346976,0.0,0.0
3,1m 51s,20028,0.0001,0.38030014038085935,0.3199854956732856,0.0024497240044789935,0.470375562969007,0.011303191489361653,0.0,0.0
4,2m 21s,20028,0.0001,0.37951547241210937,0.3168761200375027,0.009717239305614208,0.4695398933009097,0.011916939443535224,0.0,0.0
5,2m 47s,20028,0.0001,0.3783642883300781,0.31849153836568195,-0.0050979490912349415,0.4699079613936575,0.011252045826513957,0.0,0.0
6,3m 19s,20028,0.0001,0.3776334533691406,0.31508080164591473,0.010709034021026692,0.46869172547992904,0.011098608837970536,0.0,0.0
7,3m 44s,20028,0.0001,0.37691827392578126,0.31596803665161133,-0.0028158967511250133,0.46925208443089533,0.011149754500818343,0.0,0.0
8,4m 10s,20028,0.0001,0.3764148559570312,0.313327153523763,0.008358070505594156,0.46931337055407074,0.011098608837970536,0.0,0.0
9,4m 38s,20028,0.0001,0.3757567138671875,0.3132070170508491,0.0003834218374080748,0.4685503809075606,0.01150777414075288,0.0,0.0
epoch,time,params,lr,train_loss,dev_loss,dev_gain,test_loss,sp_W,sp_dx,sp_dh
0,0m 26s,20028,0.0001,0.3755943298339844,0.3121434847513835,1,0.46759098454525594,0.011098608837970536,0.0,0.0
1,0m 51s,20028,0.0001,0.3746846923828125,0.3115243911743164,0.001983362162949428,0.4663864436902498,0.01135433715220946,0.0,0.0
